paper_id,title,decision,num_reviews,avg_rating,avg_soundness,avg_presentation,avg_contribution
eUgS9Ig8JG,SaNN: Simple Yet Powerful Simplicial-aware Neural Networks,accept,4,7.0,3.5,3.25,3.0
SLw9fp4yI6,Controlled Text Generation via Language Model Arithmetic,accept,5,7.0,3.0,3.4,2.8
7Ttk3RzDeu,BooookScore: A systematic exploration of book-length summarization in the era of LLMs,accept,4,8.5,3.5,3.75,3.75
o2IEmeLL9r,Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning,accept,3,7.33,2.67,2.67,2.33
Tigr1kMDZy,Overthinking the Truth: Understanding how Language Models Process False Demonstrations,accept,3,7.33,3.0,3.0,3.33
cXs5md5wAq,Modelling Microbial Communities with Graph Neural Networks,reject,4,4.5,2.5,2.5,2.0
kKRbAY4CXv,Neural Evolutionary Kernel Method for Evolutionary PDEs,reject,4,4.25,2.25,2.75,2.25
BQvbL2sFQx,Model-Agnostic Shift-Equivariant Downsampling,reject,5,4.6,3.0,2.2,2.6
H9DYMIpz9c,Farzi Data: Autoregressive Data Distillation,reject,5,5.0,2.6,3.0,2.8
1FWDEIGm33,Large Language Models as superpositions of cultural perspectives,reject,4,3.5,1.75,2.0,2.0
